,제목,저자,출판사,출판일,가격,ISBN
22,PHP & MySQL 닌자 비법서 (견고한 웹 애플리케이션을 만들며 초보에서 고수로 거듭나기),톰 버틀러,한빛미디어,20190201.0,31500,9791162241455
23,これからはじめるSQL入門,이케우치 타카히로,技術評論社,20180528.0,36760,9784774196879
24,세븐 데이터베이스 (만들면서 파악하는 NoSQL),에릭 레드몬드,제이펍,20130327.0,0,9788994506579
25,PHP MySQL 프로그래밍,이준형,북스홀릭,20120716.0,0,9788994914923
26,SQL SERVER 2008 (Step by Step Microsoft),마이크 호텍,정보문화사,20100115.0,19800,9788956744902
27,SQL SERVER 2008 (생각하는 초보 개발자를 위한),정홍주,대림,20090518.0,0,9788972807995
28,Pro SQL Azure,,Apress,20100815.0,71650,9781430229612
29,초보자를 위한 SQL 200제(PL/SQL) (SQL 시작을 위한 최고의 입문서!),유연수,정보문화사,20200520.0,22500,9788956748504
30,"데이터 분석을 위한 SQL 레시피 (데이터 처리부터 매출/유저 파악, 리포팅 등 각종 데이터 분석과 활용까지)",가사키 나가토^다미야 나오토,한빛미디어,20180401.0,32400,9791162240601
31,ORACLE 12c(기초 SQL 편) (그림과 예제로 배우는 기초 SQL),황오현^최용호^전현태^김승현,엑시엄,20180816.0,22500,9791195942541
32,A Guide to SQL,,Cengage Learning,20200804.0,179350,9780357361689
33,SQL Server 운영과 튜닝,SQLTAG,영진닷컴,20120417.0,31500,9788931442427
34,데이터베이스와 한글 MS-SQL (단계적으로 배우는),신경애,글로벌,20080225.0,14400,9788955024357
35,알기 쉬운 파이썬 SQL 코딩하기,정현희,크라운출판사,20200324.0,13500,9788940642320
36,T SQL 프로그래밍 입문,이직 벤간,비제이퍼블릭,20130926.0,29700,9788994774473
37,MySQL 8 Cookbook,,Packt Publishing,20180129.0,86070,9781788395809
38,T-SQL Querying,,Microsoft Press,20150316.0,97850,9780735685048
39,Ready-Made Visual Fox Applications for File Maintenance (SQL by Example),,Authorhouse,20110701.0,16640,9781449082000
40,A Guide to SQL,,Cengage Learning,20141212.0,172700,9781111527273
41,Art of SQL 반양장,"Faroult, Stephane",O&#39;Reilly,20100601.0,0,9780596008949
42,Pro Oracle SQL,,Apress,20131031.0,130480,9781430262206
43,MySQL Tutorial,,Sams,20031124.0,59430,9780672325847
44,A Guide to SQL,,Course Technology,20041122.0,20000,9780619216740
45,Pro Oracle SQL,,Apress,20101130.0,81540,9781430232285
46,데이터베이스 관리와 실습 (MS SQL Server 2008),손광수,한빛아카데미,20130730.0,24250,9788998756468
47,"Let’s Get IT SQL 프로그래밍 (데이터 분석의 시작, SQL로 데이터 다루기)",홍형경,길벗,20211020.0,22500,9791165217211
48,"이경오의 SQL+ SQLD 비밀노트 (국가 공인 SQL 개발자 자격증 시험 완벽 대응, 공공 데이터 기반 실습 환경)",이경오,한빛미디어,20211010.0,28800,9791162244364
49,MS SQL Server 2012,성윤정,인피니티북스,20130830.0,27000,9788992649872
50,SQL의 컨셉 for ORACLE,변동구,비팬북스,20120229.0,19800,9788994797045
51,SQL로 맛보는 데이터 전처리 분석 (실무 데이터를 통해 데이터 분석 마스터하기),노수영,비제이퍼블릭,20200131.0,21600,9791190014694
52,데이터베이스의 정석 (MySQL과 모바일 웹으로 만나는),박성진,배움터,20190822.0,18810,9788989383789
53,SQL 코딩입문 Part 2: 활용편 (30년 경력 국내 최고 데이터 컨설턴트가 알려주는 SQL 핵심!),박상용,엔코아컨설팅,20191115.0,19800,9788995447468
54,"NoSQL & mongoDB (개정판, MongoDB Master가 해설하는)",주종면,데이터북,20140221.0,32000,9788996311461
55,SQL for Dummies,,For Dummies,20190130.0,44560,9781119527077
56,"DBA를 위한 MySQL 운영 기술 (모니터링, 백업/복구, 이중화, 도구와 기법)",조영재,위키북스,20150728.0,31500,9791158390044
